161,정실,;
162,첩,;

;168,의형제,;혈연 이상으로 단단하게 연결될 수 있었던 정(Kh추가)

170,임신,;에 해 하고 있다
171,육아중,;아이를 기르고 있는 한중간인 증거
172,모성,;자를 낳은 어머니 사랑
173,잉태가능,;애널로 임신 가능(남성 한정)
174,촉수임신,;
175,Ａ촉수임신,;
176,아이인질,;임신중, 또는 육아중의 사이는 반발계 소질이 무효화된다. 육아가 끝나면 함께 소멸

178,주인,;주인공을 굴복 시켰다
179,소유자,;주인공을 마음속으로부터 지배하고 있다
;180,죄인,;대상이 주인공에게 강요했다(Kh추가)
;181,호구,;주인공이 대상으로 강요했다(Kh추가)
;182,각인,;영원히 주인공의 주인님이 된 증거(Kh추가)

;●200～299 특수계
200,하늘의사자,;호감도가 오르기 쉬워진다
201,신비지식,;특수한 아이템이나 커맨드를 실행할 수 있다(금단의지식에 상당)
202,기사,;개발에 필요한 자금과 기간이 감소한다. 도구를 사용한 커맨드의 효과가 상승한다
203,군주의그릇,;종속도가 오르기 쉬워진다
204,구심력,;의존도가 오르기 쉬워진다
205,행운,;금이 손에 들어 오기 쉽다. 쿨 타임을 레지스터 한다
;●300번 이후는 소질란에 표시되지 않는다
; 만능(무투·방위·지략·정치에 적성)
; 지장(무투·방위·지략에 적성)
; 학사(지략·정치에 적성)
; 양도(무투·방위·정치에 적성)
; 무관(무투·방위에 적성)
; 군사(지략), 문관(정치), 예능(가창), 요리(요리), 천재(모두)
300,성장형,;0=만능 1=지장 2=학사 3=양도 4=무관 5=군사 6=문관 7=예능 8=요리 9=천재
301,성격,;0=지정 없음 1=냉정＆청렴 2=호기＆청렴 3=냉정＆이기 4=호기＆이기
302,머리색,;칼라를 직접 설정
303,머리길이,;0～1000으로 지정 0, 1=미설정 2～24=대머리 25～174=베리쇼트 175～274=쇼트 275～474=미들 475～674=롱 675～1000=베리롱
304,성명역전,;「레밀리아·스칼렛」과 같은 「이름·성」의 캐릭터에 있어, 풀네임 표시를 잘 되어가게 하기 위한 소질
305,쵸로인,;CFLAG 「강제 우호화」를 조교시에 강제 on

310,Ｖ조임
311,Ａ조임

315,음란계

320,성장후가슴,;-2=절벽, -1=미유, 0=평유, 1=거유, 2=폭유
321,성장후체형,;0=통상, 1=소인체형, 2=아이체형
322,성장후유치,;0=유치 없음, 1=유치 있어
323,성장후엉덩이,

330,피어스구멍
331,피어스

332,음모현재치
333,음모목표치

334,성적기호
335,성적기호잠금

336,위험일

337,겨드랑이털현재치
338,겨드랑이털목표치


340,특수세력소질
341,특수세력함락계

345,데일리계

350,캐릭터구분,;1=구작 2=그 외

360,가슴크기
361,페니스사이즈
362,엉덩이크기
; 체격,-2 = 여(1100 ~ 1299) 남(1200 ~ 1399) 신장
; 체격,-1 = 여(1300 ~ 1499) 남(1400 ~ 1599)
; 체격,0  = 여(1500 ~ 1699) 남(1600 ~ 1799)
; 체격,1  = 여(1700 ~ 1799) 남(1800 ~ 1949)
; 체격,2  = 여(1800 ~ 1999) 남(1950 ~ 2149)
; 체격,3  =   (3000 ~ 3999)
363,체격
364,체형

400,동물
401,커스텀캐릭터
402,커스텀캐릭터버젼
403,커스텀페이스
404,아이화상,
405,아이화상번호,
410,위안모브
411,전투모브
412,노출플레이모브


500,웨폰,; 사용중인 무기
;501,허가웨폰,; 2차 변수 (방법 몰라서) 대신 나중에 이진수 시도?. 허가웨폰 0b101 = 무기100, 무기102
; 일단 501 ~ 700 허가웨폰 추적용
